
2025/10/17 (06:43:26) | ===> btop++ v.1.3.0
2025/10/17 (06:49:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:49:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:50:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:51:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:17) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:31) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:33) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:35) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:37) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:39) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:41) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:43) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:45) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:47) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:49) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:51) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:53) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:55) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:57) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:52:59) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:01) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:03) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:05) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:07) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:09) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:11) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:13) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:15) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:19) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:21) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:23) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:25) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:27) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
2025/10/17 (06:53:29) | WARNING: NVML: Failed to get GPU utilization: Unknown Error
